stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\OneDrive - 清華大學\NTHUCS_code\10910\final_project\plane_game\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00076] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.04733] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.05328] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.05337] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.05339] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.05340] added dtor for voice 027F5AE8, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.05342] added dtor for mixer 027F5B78, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.05343] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.05344] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.05650] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.05653] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.05663] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.05666] added dtor for sample_instance 00ECCA08, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05668] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05669] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05670] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05672] added dtor for sample_instance 00ECCAF8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05674] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05674] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05675] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05677] added dtor for sample_instance 00ECCE08, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05678] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05679] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05680] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05682] added dtor for sample_instance 00ECD970, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05684] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05685] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05686] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05688] added dtor for sample_instance 00ECDA60, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05709] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05711] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05712] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05714] added dtor for sample_instance 00ECD5B0, func 61DBB8F3
